,RID,ID_da_resposta,setor,setor_id,min_orgao_limpo,ORG_EXERCICIO,min_cod_limpo,QA1,QA2,faixa_etaria,idade,QA4,QB1,QB2,QB3,QB4,QB5,QB6,QB7,QB8,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QD1,QD2,QD3,QD4,QD5,QD6,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QF1,QF2,QF3,QF4,QF5,QF6,QF7,QF8,QF9,QF10,QF11,QG1,QG2,QG3,QG4,QG5,QG6,QG7,QH1,QH2,QH3,QH4,QH5,QI1,QI2,QI2_O,QI3,QI4,QI4_O,QI5,QI6,QI7,QI8,QI9,QI10,QJ1,QJ2,QJ3,QJ4,peso_orgao,aut_2011,cap_2011,part_dom_2011,per_disc_executed_2011,bud_paid_2011,emp_2011,aut1_2017,aut2_2017,aut3_2017,part_dom_2017,pct_respondidos,mean_Aut1_2018,
344,344,3049,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,5,62,3,2,2,5,3,3,1,3,2,2,2,3,3,3,3,4,3,3,3,2,NA,NA,3,4,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,3,Trans,,0,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,0,#NU,0,3,2,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
345,345,3086,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,2,38,1,2,2,5,4,4,1,4,2,3,2,4,4,3,3,4,4,4,2,3,3,3,2,2,3,1,NA,1,2,2,1,3,3,3,NA,NA,NA,NA,NA,NA,1,2,2,1,1,1,5,1,5,1,1,1,4,2,2,2,2,2,3,3,NA,2,2,1,3,1,,2,Trans,,0,2,Agencia nacional de transportes terrestres,1,1,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
346,346,3087,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,33,2,2,1,1,2,3,1,3,3,1,1,3,1,1,3,4,2,2,3,2,3,3,2,3,4,1,1,2,2,2,1,3,5,4,2,2,2,5,5,2,1,4,4,1,1,3,1,1,5,1,1,1,3,4,4,2,2,2,2,3,2,2,1,1,2,1,,2,Trans,,0,2,AgÃªncia Nacional de Transportes Terrestres,0,#NU,0,3,1,3,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
347,347,3102,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,NA,2,33,2,2,1,4,3,2,NA,1,4,2,2,1,2,2,3,4,3,2,4,1,4,2,2,3,2,2,1,2,2,2,2,2,3,2,3,3,2,3,2,1,1,1,1,1,1,1,1,1,4,1,2,1,3,4,4,4,4,4,5,4,2,2,3,1,2,1,,2,Trans,,0,2,AGÃŠNCIA NACIONAL DE TRANSPORTES TERRESTRES,0,#NU,0,4,1,2,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
348,348,3106,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,2,37,2,1,2,5,2,4,2,3,2,2,1,2,1,2,2,3,1,1,4,2,3,4,3,2,4,2,4,2,3,2,2,3,4,2,4,4,5,3,4,4,1,2,2,1,1,1,1,1,5,4,3,2,4,3,2,2,2,2,4,4,4,3,2,2,2,1,,2,Trans,,0,2,Agencia Nacional de Transportes Terrestres,0,#NU,1,4,2,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
349,349,3163,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,3,42,4,2,2,3,2,4,1,3,2,2,1,2,3,2,2,2,3,1,2,1,3,4,1,3,4,2,2,3,2,3,2,3,2,3,2,2,2,1,4,3,2,5,5,5,3,5,4,4,5,3,4,4,2,2,2,3,2,3,3,2,2,2,2,1,4,1,,3,Trans,,1,2,Agencia Nacional de Transportes Terrestres,1,2,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
350,350,3181,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,4,2,31,3,3,3,5,5,4,1,4,1,4,5,5,5,5,3,4,2,2,5,1,4,4,3,4,1,2,2,3,2,2,2,4,4,2,2,2,NA,2,4,2,1,4,3,1,1,3,1,1,3,3,3,2,4,3,3,3,3,3,3,4,3,2,3,2,2,1,,3,Trans,,1,2,Agencia Nacional de Transportes Terrestres,1,2,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
351,351,3254,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,37,2,4,3,5,5,4,1,3,2,4,5,4,4,4,4,2,2,5,2,4,3,3,5,5,1,3,5,3,4,1,1,2,1,2,3,2,2,4,2,2,1,1,1,1,1,1,1,1,5,1,1,2,4,4,4,5,5,5,5,5,4,4,5,4,2,2,,4,Trans,,1,2,ANTT,1,1,0,4,3,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
352,352,3318,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,39,3,4,3,5,2,2,3,1,4,2,3,4,2,2,2,3,4,3,3,1,4,4,2,2,2,3,2,3,4,2,2,4,4,2,2,2,4,4,4,2,2,4,2,1,2,1,1,4,5,1,1,1,4,2,3,3,4,3,3,5,4,2,4,3,3,1,,2,Trans,,0,2,AgÃªncia nacional de transportes terrestres,0,#NU,0,4,2,3,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
353,353,3420,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,4,55,2,4,4,3,5,4,1,3,3,4,5,5,4,5,4,3,2,2,2,2,3,3,3,4,2,3,3,2,4,4,4,3,3,4,4,4,4,4,4,4,2,2,2,1,1,4,1,1,1,1,1,1,3,3,3,3,3,3,3,4,3,2,3,3,6,3,,2,Trans,,1,2,EMPREGADO DA VALEC/CEDIDO A ANTT.,1,1,0,3,1,1,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
354,354,3455,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,NA,3,41,2,2,2,5,2,4,1,4,2,1,4,3,3,3,3,2,1,2,4,2,4,4,4,4,2,2,2,3,4,5,2,2,2,2,2,2,NA,4,4,1,1,4,4,1,4,4,2,1,5,4,1,4,4,4,4,4,4,4,4,2,3,5,5,4,3,1,,2,Trans,,1,3,ANTT,0,#NU,0,3,1,2,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
355,355,3641,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,37,2,3,2,5,3,4,1,3,2,1,2,2,2,2,2,4,3,2,3,2,3,2,1,3,3,2,NA,4,2,2,4,4,2,2,NA,NA,3,2,2,NA,1,2,2,1,1,1,1,1,4,1,1,1,4,3,4,4,4,4,4,3,NA,2,3,1,3,1,,2,Trans,,0,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,0,#NU,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
356,356,3649,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,3,47,2,4,5,5,4,4,1,4,4,2,5,5,4,4,4,5,5,2,4,1,2,4,3,2,1,4,4,5,1,1,1,1,4,4,4,4,4,4,4,4,4,3,3,2,5,1,5,2,5,1,3,1,4,3,4,4,4,4,4,5,4,2,4,5,3,1,,2,Trans,,0,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRE -,1,1,1,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
357,357,3702,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,2,4,54,4,4,1,5,4,3,1,4,2,4,4,5,3,2,2,4,2,2,3,2,1,3,2,3,2,2,4,4,1,1,1,2,2,2,3,2,4,2,3,2,1,2,2,2,1,3,4,4,5,1,4,3,4,4,4,4,4,3,3,3,3,2,4,3,3,1,,3,Trans,,0,2,Agencia Nacional de Transportes Terrestres,1,2,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
358,358,3703,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,5,67,2,4,4,4,5,3,1,3,3,4,4,4,4,5,4,4,2,4,2,4,3,2,4,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,3,2,1,1,1,2,1,5,1,1,1,4,4,4,4,4,4,4,5,4,4,4,4,6,3,,3,Trans,,0,2,agencia nacional de transportes terrestres,1,1,0,4,1,2,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
359,359,3734,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,2,35,2,2,2,4,3,4,1,3,2,2,4,4,3,3,3,2,3,4,2,1,2,3,NA,4,4,1,NA,4,4,2,1,3,2,2,1,2,2,2,4,3,1,5,5,2,1,1,1,1,3,2,2,2,2,4,3,2,2,3,4,2,1,3,NA,2,2,1,,2,Trans,,1,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,1,2,0,3,1,2,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
360,360,3834,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,5,69,NA,5,2,5,3,4,1,4,1,2,1,3,1,3,4,4,1,1,2,1,4,1,2,2,2,2,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,4,3,3,3,3,NA,3,,1,Minas,,1,1,antt,0,#NU,0,3,2,3,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
361,361,3905,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,4,2,36,1,3,3,4,3,3,NA,NA,NA,3,3,3,3,3,5,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,,NA,NA,,NA,2,AgÃªncia Nacional do transporte terrestre,0,#NU,0,NA,NA,NA,NA,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
362,362,3922,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,NA,4,54,2,3,2,5,4,3,1,2,4,4,3,3,3,4,3,3,4,2,3,2,1,1,4,2,3,3,3,3,4,2,2,2,2,3,3,3,3,3,3,3,1,5,5,3,2,2,4,3,2,1,1,1,3,3,3,4,4,3,2,4,2,2,2,3,4,2,,3,Trans,,1,2,agencia nacional de transportes terrestres,1,2,0,3,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
363,363,3926,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,NA,1,30,3,3,2,5,3,4,1,3,4,3,3,3,4,3,3,4,3,3,3,2,3,3,2,5,3,2,2,4,1,2,3,4,2,2,2,2,4,2,4,3,1,4,2,1,1,1,1,1,4,1,1,2,4,4,4,3,4,3,3,2,3,4,3,2,1,1,,3,Trans,,1,2,AgÃªncia Nacional de Transportes Terrestres,0,#NU,0,4,3,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
364,364,3955,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,3,41,3,2,2,5,5,4,1,4,3,3,4,4,3,3,3,2,2,3,4,2,2,3,2,3,3,3,3,5,2,3,1,3,1,4,4,4,2,2,2,4,5,3,3,1,1,2,4,1,5,1,1,1,3,3,3,4,4,4,5,3,2,3,2,2,5,1,,3,Trans,,1,2,ANTT,1,1,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
365,365,4036,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,3,46,3,3,2,5,3,4,1,4,1,2,3,2,2,2,2,2,2,2,4,2,2,1,2,3,3,2,2,2,2,3,2,3,2,4,4,4,4,3,3,4,2,1,1,1,1,2,2,1,1,1,2,1,4,4,3,3,3,3,4,3,2,4,3,2,2,1,,3,Trans,,0,2,ANTT,1,2,0,3,3,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
366,366,4050,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,3,42,3,3,3,5,3,4,1,3,2,3,4,4,4,3,3,3,2,1,2,3,3,3,3,4,2,2,4,4,2,1,1,4,4,3,3,3,3,3,3,2,1,3,3,1,4,2,1,1,4,2,3,5,4,4,4,3,4,3,3,4,4,1,3,4,3,1,,3,Trans,,1,3,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,1,2,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
367,367,4125,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,2,40,4,2,2,5,3,3,1,3,2,4,3,4,4,4,3,4,NA,3,3,4,1,4,3,4,4,3,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,4,1,1,5,1,1,3,4,2,2,2,2,2,2,3,3,3,2,3,3,1,,3,Trans,,1,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,1,2,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
368,368,4195,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,4,1,27,3,2,2,2,2,3,1,3,2,3,2,2,2,3,2,3,2,2,4,3,3,3,3,3,2,2,NA,2,4,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,1,1,1,2,4,NA,2,2,2,4,4,4,3,4,3,2,NA,,2,Trans,,1,2,AgÃªncia Nacional te Transportes Terrestres,1,2,0,3,1,3,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
369,369,4226,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,35,3,3,3,5,4,4,2,3,2,3,4,3,4,3,4,2,4,4,2,2,3,3,3,4,2,2,4,4,1,1,3,2,2,4,4,3,4,2,4,2,2,3,4,1,2,2,4,4,5,2,3,4,4,3,4,4,3,3,4,4,3,1,3,3,3,1,,2,Trans,,1,2,Agencia Nacional de Transportes Terrestres,1,1,0,3,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
370,370,4244,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,4,1,30,3,2,1,4,4,4,1,3,3,2,3,4,2,4,3,4,2,3,4,2,3,4,2,3,2,2,3,3,3,3,2,4,4,2,4,4,4,4,3,4,2,1,1,1,1,1,1,1,5,1,1,1,4,2,2,3,3,3,3,5,4,4,4,3,1,1,,2,Traba,,1,2,ANTT,0,#NU,0,4,1,2,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
371,371,4252,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,2,2,36,3,1,1,5,4,4,2,4,3,4,4,4,3,3,2,4,1,2,5,1,NA,3,1,4,4,1,2,2,2,NA,2,4,4,2,2,2,2,3,4,NA,1,1,1,1,5,4,1,4,1,1,1,1,4,2,1,1,3,3,2,2,1,NA,1,2,1,1,,3,Plane,,1,2,ANTT,0,#NU,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
372,372,4356,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,5,74,2,4,4,4,5,3,1,3,1,4,4,4,3,5,4,4,4,4,2,2,3,3,4,4,2,3,4,4,2,2,2,1,2,2,2,2,2,2,2,2,2,3,4,1,1,4,1,1,1,1,1,1,4,4,4,4,NA,NA,4,4,NA,4,4,4,6,3,,3,Trans,,1,2,ANTT,1,2,0,3,NA,NA,NA,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
373,373,4434,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,3,3,49,3,4,4,4,5,4,2,3,3,4,5,5,4,5,4,2,2,2,4,2,3,3,4,5,1,4,5,4,2,2,4,4,4,4,2,2,4,4,4,4,2,5,5,5,5,2,1,1,5,5,5,2,5,5,5,4,4,2,2,4,4,4,4,2,4,2,,4,Trans,,1,2,AgÃªncia Nacional de Transportes Terrestres,1,2,0,3,2,3,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
374,374,4442,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,2,2,37,2,3,3,4,3,4,1,4,3,2,3,3,4,4,3,3,2,2,3,NA,2,3,3,NA,2,3,3,3,3,2,2,4,4,4,3,3,3,2,4,3,2,1,1,1,1,2,NA,NA,4,1,1,2,4,4,3,4,4,3,3,4,2,2,3,2,3,1,,2,Trans,,0,2,Agencia Nacional de Transportes Terrestres,0,#NU,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
375,375,4468,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,4,57,2,2,1,NA,4,1,4,1,3,5,5,4,3,2,2,2,5,3,2,2,4,3,3,3,1,1,3,4,2,2,3,2,3,2,3,2,2,3,3,2,2,3,3,1,1,4,3,1,2,1,2,2,4,4,4,4,4,4,3,2,1,4,4,1,3,1,,2,Trans,,0,2,Agencia de transportes terrestre,0,#NU,0,2,1,4,4,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
376,376,4478,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,2,2,35,3,2,1,5,2,4,1,4,3,1,2,2,2,2,2,4,2,2,4,2,4,4,2,4,2,2,NA,4,1,1,1,4,1,4,3,3,3,NA,5,1,1,5,5,1,1,1,1,1,3,1,1,1,4,4,4,4,4,4,4,4,NA,2,4,4,3,1,,3,Trans,,1,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,1,1,0,4,1,3,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
377,377,4513,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,5,62,2,5,5,5,4,4,1,4,3,4,4,5,1,4,5,3,2,1,2,3,3,3,3,4,2,2,4,2,4,3,4,2,4,2,3,3,3,4,4,2,2,1,1,1,1,1,1,1,1,1,5,1,4,4,4,4,4,4,4,3,3,4,2,3,6,3,,3,Trans,,1,2,"VALEC, mas cedido Ã  ANTT.",0,#NU,0,3,3,2,3,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
378,378,4514,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,5,5,67,1,4,4,NA,4,4,1,4,3,3,3,2,4,4,5,3,4,4,2,2,NA,NA,5,2,2,3,4,2,4,3,2,2,2,4,4,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,3,4,3,3,4,4,4,6,1,,2,Trans,,0,2,ANTT,0,#NU,0,4,1,3,4,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
379,379,4531,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,1,4,2,31,2,2,3,2,3,4,1,3,2,2,3,2,2,3,2,2,3,2,4,4,3,3,2,4,2,3,2,2,4,2,1,3,2,2,3,2,4,2,4,3,1,3,3,1,1,5,1,1,1,1,1,1,4,2,2,2,2,3,4,NA,2,1,3,2,2,1,,3,Trans,,1,2,AgÃªncia Nacional de Transportes Terrestres,1,1,0,4,1,1,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
380,380,4546,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,5,62,4,4,3,5,3,4,2,3,3,2,4,4,3,4,3,4,2,3,3,2,3,3,3,3,2,3,3,3,4,2,4,4,2,4,4,3,4,3,4,2,1,2,2,1,1,2,1,1,4,2,2,2,4,4,4,4,3,3,4,3,3,3,4,3,6,3,,3,Trans,,1,2,Agencia Nacional de transportes Terrestres,1,1,0,4,2,3,2,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
381,381,4626,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,NA,2,40,3,4,2,5,2,4,1,3,3,2,2,2,1,2,2,2,2,2,4,2,4,2,2,4,2,2,2,2,2,1,2,1,1,1,1,1,1,1,3,2,1,2,2,1,1,1,1,2,5,1,2,1,2,2,2,1,1,1,1,2,2,3,2,2,4,1,,2,Trans,,0,2,Agencia Nacional de Transportes Terrestres,1,1,0,3,3,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
382,382,4674,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,2,2,38,2,2,2,4,4,4,1,4,3,2,2,2,1,3,3,4,1,2,3,3,3,3,2,2,4,2,2,2,1,1,1,3,3,3,1,1,3,3,3,3,1,1,3,1,1,1,2,4,1,1,1,1,4,3,3,3,3,4,3,4,3,2,2,2,4,1,,2,Trans,,0,2,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,0,#NU,0,3,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
383,383,4677,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,34,2,4,2,5,3,4,1,4,4,2,2,2,3,3,3,2,2,2,4,2,4,4,3,3,2,3,3,3,2,2,1,1,3,3,2,2,3,3,3,3,2,2,3,NA,NA,NA,NA,NA,5,1,4,NA,4,4,3,4,3,4,4,4,3,3,3,2,1,1,,2,Trans,,1,2,Agencia Nacional de Transportes Terrestres,0,#NU,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
384,384,4705,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,32,2,3,5,5,3,4,1,4,1,2,2,2,2,2,3,4,3,3,2,2,1,1,3,4,2,4,3,4,2,4,4,2,2,1,NA,NA,NA,NA,4,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,2,3,3,4,4,4,NA,3,2,3,2,1,,2,Trans,,0,3,AgÃªncia nacional de transportes terrestres,0,#NU,0,4,1,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
385,385,4709,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,5,2,36,2,3,4,5,4,4,1,3,3,4,2,4,4,4,3,4,2,4,2,2,3,3,3,3,2,1,2,2,1,2,4,3,2,4,2,2,4,1,3,2,2,2,3,4,2,5,2,1,5,1,4,3,4,2,2,3,4,4,2,4,2,2,3,2,3,1,,3,-oth-,ANTT,1,2,Antt,0,#NU,0,3,2,1,1,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
386,386,4729,Infrastructure,2,MTPA-ANTT,AGENCIA NAC. DE TRANSPORTES TERRESTRES,21,0,4,2,35,3,2,2,5,2,4,1,4,2,1,2,2,2,2,2,4,2,3,2,1,1,3,2,3,5,2,4,3,1,2,4,3,2,3,4,2,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,3,3,3,3,3,2,2,2,2,3,1,,3,Trans,,0,1,AGENCIA NACIONAL DE TRANSPORTES TERRESTRES,0,#NU,0,NA,NA,NA,NA,8.397260274,0.037778775,-0.337910908,0.171,0.691,331548994.6,1312,NA,NA,21.87776794,0.133603239,1.767,0.817497388,
