,RID,ID_da_resposta,setor,setor_id,min_orgao_limpo,ORG_EXERCICIO,min_cod_limpo,QA1,QA2,faixa_etaria,idade,QA4,QB1,QB2,QB3,QB4,QB5,QB6,QB7,QB8,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QD1,QD2,QD3,QD4,QD5,QD6,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QF1,QF2,QF3,QF4,QF5,QF6,QF7,QF8,QF9,QF10,QF11,QG1,QG2,QG3,QG4,QG5,QG6,QG7,QH1,QH2,QH3,QH4,QH5,QI1,QI2,QI2_O,QI3,QI4,QI4_O,QI5,QI6,QI7,QI8,QI9,QI10,QJ1,QJ2,QJ3,QJ4,peso_orgao,aut_2011,cap_2011,part_dom_2011,per_disc_executed_2011,bud_paid_2011,emp_2011,aut1_2017,aut2_2017,aut3_2017,part_dom_2017,pct_respondidos,mean_Aut1_2018,
11,11,3662,,NA,Eu não sei/não quero responder,NA,,1,2,2,33,2,4,2,4,3,4,1,4,2,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,NA,NA,,0,NA,NAO TRABALHO,0,#NU,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,12,4366,,NA,Eu não sei/não quero responder,NA,,0,2,2,33,2,2,2,4,4,3,1,4,1,3,4,4,4,4,4,4,1,1,3,1,NA,NA,2,1,2,3,4,2,3,4,4,3,3,4,4,4,3,3,2,4,4,1,1,1,1,1,2,2,2,1,2,3,4,4,3,3,4,4,4,4,2,2,4,4,1,NA,,3,NA,,0,NA,Prefiro nÃ£o responder,0,#NU,0,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,13,4573,,NA,Eu não sei/não quero responder,NA,,0,4,2,35,3,4,4,3,4,4,2,2,4,3,3,5,3,4,2,5,3,2,3,3,4,4,5,5,1,3,3,3,1,1,1,4,4,2,3,3,3,2,4,3,3,4,4,3,1,1,2,1,4,3,1,1,3,3,3,3,3,3,3,5,3,2,2,3,3,1,,3,NA,,1,NA,NÃ£o desejo responder.,0,#NU,0,4,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,14,4637,,NA,Eu não sei/não quero responder,NA,,0,2,2,36,3,2,2,5,4,4,1,4,1,3,2,4,4,4,1,4,3,3,3,1,3,4,4,4,1,4,4,4,1,1,4,2,4,1,2,1,3,2,3,2,2,4,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,4,4,2,2,3,3,1,,3,NA,,0,1,administracao direta,1,2,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,15,4645,,NA,Eu não sei/não quero responder,NA,,1,5,1,27,3,4,NA,5,4,4,1,4,2,2,3,3,2,3,2,4,3,2,3,2,2,3,NA,NA,2,4,NA,3,NA,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,NA,4,1,2,1,1,NA,3,2,3,3,3,3,2,NA,NA,2,2,3,NA,2,,4,NA,,0,NA,Exerci apenas trabalho temporÃ¡riono Instit,0,#NU,0,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,16,4655,,NA,Eu não sei/não quero responder,NA,,1,2,2,37,5,4,4,5,3,4,1,4,1,2,3,3,2,3,NA,2,2,NA,4,1,2,4,NA,4,3,2,NA,3,NA,4,5,NA,4,1,4,3,5,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,1,NA,NA,4,4,3,1,1,,3,-oth-,MunicÃ­pio - Poder Legislativo,0,1,Poder Legislativo Municipal,0,#NU,0,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,17,16,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,2,35,3,2,3,5,3,4,1,4,4,1,3,2,4,4,2,5,1,2,4,2,4,2,3,2,3,4,4,4,1,1,1,3,4,4,2,2,3,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,2,3,3,2,2,2,1,3,,3,Advoc,,1,1,Procuradoria Geral da UniÃ£o,0,#NU,0,4,1,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
18,18,59,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,4,59,3,4,2,5,5,3,1,3,3,5,4,4,4,4,3,4,4,2,2,2,3,3,4,2,1,4,5,2,3,2,2,4,4,4,4,4,4,4,4,2,2,4,4,1,1,1,1,4,1,1,1,4,5,5,5,5,5,5,5,5,4,4,4,4,6,1,,2,Advoc,,0,NA,Procuradoria Federal Mato Grosso do Sul,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
19,19,109,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,4,3,49,3,4,4,2,4,3,1,3,2,2,4,4,3,4,3,4,2,3,4,2,1,2,4,2,2,4,4,4,2,2,2,4,2,2,4,2,4,2,4,3,1,5,4,1,3,2,4,4,1,1,1,1,4,4,4,4,4,4,4,5,4,3,4,5,5,1,,3,Advoc,,1,3,PROCURADORIA FEDERAL JUNTO A SUPERINTENDÃŠN,1,2,0,NA,2,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
20,20,146,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,4,2,36,3,2,2,4,3,3,1,3,3,2,4,4,4,4,2,4,4,2,4,2,1,3,4,2,4,2,3,4,2,2,2,4,4,4,2,2,2,4,2,3,4,4,4,1,5,1,2,2,5,1,2,1,2,4,2,2,2,2,2,5,4,3,2,3,2,1,,3,Advoc,,0,1,Pgfn,1,1,0,4,1,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
21,21,211,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,3,41,3,2,1,5,4,4,1,4,3,2,2,4,2,2,3,NA,2,5,2,2,4,3,2,NA,2,NA,NA,4,2,4,4,4,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,1,1,1,2,2,2,2,1,1,1,NA,NA,4,2,1,2,1,,3,-oth-,Advocacia-Geral da UniÃ£o,0,1,Procuradoria-Regional da Federal da 5Âª Reg,0,#NU,0,4,3,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
22,22,223,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,2,40,3,2,1,5,1,4,1,4,1,2,1,4,4,4,4,2,2,4,4,2,3,3,4,4,2,4,4,5,2,2,2,4,4,4,4,1,1,4,4,2,1,4,4,1,5,5,3,4,5,4,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,1,,3,Advoc,,1,2,Advocacia Geral da UniÃ£o e AgÃªncia Nacion,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
23,23,271,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,2,37,3,4,3,5,5,4,1,4,1,4,4,4,5,4,3,4,3,2,1,1,1,1,3,2,1,4,4,3,5,1,1,1,1,3,2,2,2,5,5,5,1,2,2,1,2,2,1,1,3,3,3,3,5,5,5,3,3,3,4,4,3,2,2,3,2,1,,3,Advoc,,1,1,AGU,1,2,0,4,1,2,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
24,24,431,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,4,5,63,2,5,2,5,4,4,2,4,4,5,5,5,2,3,4,5,5,4,4,2,1,2,4,2,3,4,4,NA,4,4,4,3,4,3,4,4,4,4,NA,NA,4,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,5,5,3,4,4,6,1,,2,Advoc,,1,1,AGU - Advocacia  Geral da UniÃ£o,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
25,25,447,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,4,2,38,4,3,3,5,3,4,1,4,4,3,3,3,3,3,3,5,5,5,3,3,4,4,5,3,1,5,5,5,1,1,1,1,1,1,1,2,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,1,5,3,1,,3,Advoc,,0,1,AGU,0,#NU,0,4,1,1,4,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
26,26,474,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,5,62,3,2,3,5,4,4,1,3,2,2,3,4,2,4,4,2,2,2,4,2,3,1,4,1,2,4,2,3,2,2,2,2,2,2,2,2,2,2,3,4,4,5,2,1,2,1,1,1,1,1,1,1,4,4,4,4,3,4,4,4,4,2,4,3,3,1,,3,Advoc,,0,1,Advocacia-Geral da UniÃ£o Procuradoria-Secc,1,2,0,4,3,2,2,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
27,27,485,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,4,56,2,5,5,5,5,4,1,4,4,2,5,4,4,4,4,4,2,2,4,2,4,4,2,2,2,5,5,4,1,1,1,4,4,4,4,4,4,5,5,5,1,4,4,2,1,5,1,1,1,1,1,2,2,2,2,2,2,4,3,4,4,2,3,5,4,1,,3,Advoc,,0,3,AUDITORIA INTERNA,1,2,0,4,1,4,2,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
28,28,533,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,5,4,54,3,2,1,5,3,4,1,3,3,3,2,4,2,3,3,2,2,4,3,2,1,3,4,1,2,3,1,4,4,2,4,4,2,2,4,2,4,4,4,4,2,1,1,1,1,1,1,1,4,1,1,1,2,2,2,4,4,4,2,4,4,2,2,3,6,1,,2,Advoc,,0,1,AGU,0,#NU,0,4,1,2,2,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
29,29,557,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,3,47,3,4,2,5,1,4,1,4,2,2,2,4,5,2,1,2,2,2,4,2,1,1,5,2,1,2,5,2,4,1,1,4,4,4,4,4,4,4,4,4,4,5,5,1,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,,2,Advoc,,0,1,AGU/RS,0,#NU,0,2,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
30,30,610,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,4,55,3,2,2,5,2,4,1,3,2,4,2,4,3,2,4,3,4,2,4,2,3,2,2,2,NA,NA,4,NA,4,2,2,4,2,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,2,2,4,1,2,2,2,2,6,1,,2,Advoc,,1,1,Advocacia Geral da UniÃ£o,1,2,0,1,4,2,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
31,31,665,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,4,4,52,3,4,4,5,4,4,1,3,1,2,2,3,4,3,3,3,3,3,2,1,3,3,3,4,1,2,4,1,3,4,4,4,3,2,2,3,NA,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,3,3,2,3,4,4,2,4,3,6,1,,3,Advoc,,0,1,PROCURADORIA GERAL FEDERAL,0,#NU,0,4,1,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
32,32,720,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,3,47,3,4,NA,4,4,4,1,3,2,1,3,3,2,4,4,3,2,2,3,1,1,1,4,3,2,4,NA,NA,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,3,1,1,1,3,1,1,2,3,2,3,4,3,4,4,4,NA,NA,4,4,2,3,,2,Advoc,,0,3,ADVOCACIA GERAL DA UNIÃƒO,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
33,33,726,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,2,32,3,5,2,4,5,4,1,3,3,2,5,5,4,5,4,5,4,3,4,1,4,4,5,3,4,4,3,3,4,3,3,4,4,2,4,2,4,4,NA,NA,4,4,2,1,4,1,1,1,5,1,1,4,4,4,4,4,4,4,4,NA,4,4,4,4,1,1,,3,Advoc,,0,1,Advocacia geral da uniao,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
34,34,771,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,1,2,4,57,3,2,2,4,2,4,1,3,4,5,4,5,4,4,2,5,5,5,3,2,3,3,5,2,2,2,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,5,4,1,1,1,1,1,1,1,1,1,4,4,3,5,5,4,4,4,4,2,4,4,6,1,,2,Advoc,,0,1,ADVOCACIA GERAL DA UNIAO - PROCURADORIA DA,1,2,0,4,2,4,4,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
35,35,989,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,5,2,35,5,2,2,4,2,4,2,4,2,1,1,4,4,2,3,4,2,1,4,2,3,3,4,1,2,2,4,4,2,4,4,2,2,2,2,2,2,5,2,5,2,3,3,2,5,2,4,2,3,2,3,4,4,2,2,2,2,2,4,4,4,4,2,4,3,1,,3,Advoc,,0,1,Advocacia-Geral da UniÃ£o/Procuradoria-Gera,0,#NU,0,3,1,4,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
36,36,1004,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,4,54,2,4,3,5,4,4,1,4,1,4,4,3,2,4,1,3,3,3,2,2,4,2,4,3,1,4,3,2,3,3,3,3,3,3,2,3,3,2,3,4,4,5,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,4,4,3,4,3,1,3,,2,Advoc,,0,1,Procuradoria Federal no Estado do Rio Grand,0,#NU,0,4,1,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
37,37,1042,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,5,62,2,4,2,5,2,4,1,3,3,2,4,4,2,4,3,4,4,2,4,1,4,1,4,2,2,2,4,4,2,2,2,2,2,4,4,2,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,3,,3,Advoc,,0,1,Advocacia Geral da UniÃ£o - AGU,1,2,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
38,38,1097,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,4,2,36,2,4,5,5,4,4,1,4,4,2,4,4,4,4,5,2,2,2,2,2,4,4,5,2,2,4,5,2,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,1,2,1,1,1,4,1,1,2,4,4,4,4,4,4,4,5,5,5,5,5,2,1,,2,Advoc,,0,1,ADVOCACIA GERAL DA UNIÃƒO-PROCURADORIA SECC,0,#NU,0,4,1,3,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
39,39,1218,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,3,49,3,2,2,5,4,3,1,3,3,4,4,4,4,4,4,3,2,3,3,2,3,2,4,3,2,3,4,4,3,2,2,2,2,2,2,2,2,2,3,2,3,4,4,1,4,4,2,2,4,1,4,3,3,4,3,3,4,3,4,5,4,3,4,3,4,3,,3,Advoc,,0,1,AGU,0,#NU,0,3,2,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
40,40,1258,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,4,4,60,3,4,2,NA,4,NA,NA,NA,NA,5,4,4,4,4,5,1,4,4,2,2,4,3,NA,1,2,4,4,4,4,4,4,3,3,4,4,4,3,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,3,4,4,4,6,1,,2,Advoc,,0,3,AGU - PF/ES-INSS - PROCURADORIA FEDERAL DO,0,#NU,0,4,4,NA,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
41,41,1307,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,3,44,4,2,2,5,4,4,1,4,2,2,1,4,3,3,5,5,1,1,4,1,4,4,5,1,5,3,2,3,2,1,1,1,3,3,3,3,3,5,5,3,3,5,1,1,1,1,1,1,1,1,1,1,5,3,3,1,1,1,3,4,1,2,4,1,1,1,,3,-oth-,DPU,0,NA,Defensoria Publica da Uniao,0,#NU,0,4,3,3,3,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
42,42,1379,Core of Government,3,AGU,ADVOCACIA-GERAL DA UNIAO,25,0,2,3,43,2,4,4,5,5,4,1,4,2,4,5,5,5,4,5,4,5,5,1,1,1,1,5,2,1,3,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,5,1,1,5,1,1,1,1,1,1,1,5,5,4,5,5,5,5,4,4,2,5,5,5,1,,2,Advoc,,0,1,Procuradoria Regional Federal da 4Âª RegiÃ£,0,#NU,0,4,1,1,1,88.32258065,0.558419545,0.207620943,0.155,0.543,2428934323,7477,15.59633028,12.56830601,19.64285714,0.130034522,0.979,NA,
